  Layer  Stave Chip     X         Y           Z        r         phi
    01    15    04    3.8845   -0.6956     -0.7126   3.9463   -0.1772
    01    15    05    3.8871   -0.6932      2.3041   3.9484   -0.1765
    01    15    06    3.8896   -0.6921      5.3201   3.9507   -0.1761
    01    15    07    3.8912   -0.6905      8.3358   3.9520   -0.1756
    01    15    08    3.8927   -0.6897     11.3519   3.9533   -0.1754
    02    00    00    4.7012    0.5061    -12.7608   4.7284    0.1072
    02    00    01    4.7020    0.5078     -9.7468   4.7293    0.1076
    02    00    02    4.7045    0.5094     -6.7317   4.7320    0.1078
    02    00    03    4.7065    0.5105     -3.7171   4.7341    0.1080
    02    00    04    4.7093    0.5111     -0.7035   4.7370    0.1081
    02    00    05    4.7118    0.5113      2.3112   4.7394    0.1081
    02    00    06    4.7151    0.5118      5.3270   4.7428    0.1081
    02    00    07    4.7211    0.5131      8.3465   4.7489    0.1083
    02    00    08    4.7282    0.5118     11.3564   4.7558    0.1078
    02    01    00    4.2902    1.7388    -12.7587   4.6292    0.3851
    02    01    01    4.2917    1.7371     -9.7445   4.6299    0.3846
    02    01    02    4.2936    1.7354     -6.7304   4.6311    0.3841
    02    01    03    4.2972    1.7347     -3.7162   4.6341    0.3837
    02    01    04    4.3003    1.7344     -0.7019   4.6369    0.3834
    02    01    05    4.3038    1.7356      2.3116   4.6406    0.3833
    02    01    06    4.3073    1.7356      5.3274   4.6438    0.3830
    02    01    07    4.3154    1.7395      8.3509   4.6528    0.3832
    02    01    08    4.3229    1.7414     11.3570   4.6605    0.3830
    02    02    00    3.5254    2.7907    -12.7565   4.4963    0.6696
    02    02    01    3.5300    2.7907     -9.7430   4.4999    0.6690
    02    02    02    3.5349    2.7901     -6.7287   4.5033    0.6682
    02    02    03    3.5393    2.7887     -3.7149   4.5060    0.6673
    02    02    04    3.5437    2.7878     -0.7003   4.5088    0.6666
    02    02    05    3.5477    2.7875      2.3141   4.5118    0.6660
    02    02    06    3.5516    2.7874      5.3289   4.5148    0.6654
    02    02    07    3.5569    2.7873      8.3468   4.5189    0.6647
    02    02    08    3.5611    2.7869     11.3617   4.5220    0.6640
    02    03    00    2.4665    3.5406    -12.7556   4.3151    0.9623
    02    03    01    2.4700    3.5417     -9.7417   4.3179    0.9618
    02    03    02    2.4763    3.5421     -6.7263   4.3218    0.9607
    02    03    03    2.4828    3.5444     -3.7125   4.3275    0.9597
    02    03    04    2.4883    3.5457     -0.6986   4.3317    0.9589
    02    03    05    2.4939    3.5473      2.3160   4.3362    0.9580
    02    03    06    2.4996    3.5481      5.3302   4.3401    0.9571
    02    03    07    2.5055    3.5490      8.3450   4.3443    0.9561
    02    03    08    2.5116    3.5499     11.3610   4.3486    0.9550
    02    04    00    1.2292    3.9391    -12.7481   4.1264    1.2683
    02    04    01    1.2337    3.9371     -9.7344   4.1259    1.2671
    02    04    02    1.2397    3.9371     -6.7190   4.1276    1.2657
    02    04    03    1.2458    3.9376     -3.7052   4.1299    1.2644
    02    04    04    1.2525    3.9406     -0.6912   4.1349    1.2631
    02    04    05    1.2591    3.9425      2.3227   4.1386    1.2617
    02    04    06    1.2653    3.9439      5.3376   4.1419    1.2603
    02    04    07    1.2719    3.9469      8.3527   4.1468    1.2590
    02    04    08    1.2793    3.9501     11.3674   4.1521    1.2576
    02    05    00   -0.0375    3.9560    -12.6997   3.9562    1.5803
